MouseID,S6_N,P38_N,RAPTOR_N,Ubiquitin_N,Tau_N,Genotype,Treatment,Behavior,class
50810D_6,0.617159652,0.381277185,0.267101621,1.096116566,0.172722156,Control,Saline,C/S,c-CS-s
50810D_7,0.545988561,0.343472274,0.275879334,1.191296955,0.148168187,Control,Saline,C/S,c-CS-s
50810D_8,0.562924901,0.362003199,0.270333456,1.112648221,0.148221344,Control,Saline,C/S,c-CS-s
50810D_9,0.545352294,0.370895971,0.26193626,1.082108139,0.148549851,Control,Saline,C/S,c-CS-s
50810D_10,0.497163189,0.369308335,0.292736726,1.085969805,0.14395615,Control,Saline,C/S,c-CS-s
50810D_11,0.483194512,0.371358479,0.274609016,1.088486036,0.146202842,Control,Saline,C/S,c-CS-s
50810D_12,0.51124453,0.41369536,0.268984037,1.106136155,0.150300193,Control,Saline,C/S,c-CS-s
50810D_13,0.434390215,0.360752688,0.298924731,1.060681629,0.144282152,Control,Saline,C/S,c-CS-s
50810D_14,0.441265242,0.402667129,0.280914444,1.032476156,0.147772546,Control,Saline,C/S,c-CS-s
50810D_15,0.442193987,0.400857633,0.268267581,1.034469745,0.147943138,Control,Saline,C/S,c-CS-s
50810F_1,0.669527483,0.284518828,0.335076709,0.972999036,0.146480231,Control,Saline,C/S,c-CS-s
50810F_2,0.67745756,0.280753283,0.315134762,0.987070667,0.151204106,Control,Saline,C/S,c-CS-s
50810F_3,0.684995526,0.285228625,0.306476288,0.97136323,0.164860296,Control,Saline,C/S,c-CS-s
50810F_4,0.621739673,0.330570902,0.352900552,1.115063023,0.152502184,Control,Saline,C/S,c-CS-s
50810F_5,0.643520909,0.324464487,0.33167982,1.033815178,0.152297367,Control,Saline,C/S,c-CS-s
50810F_6,0.638449771,0.329329548,0.316663027,1.167261601,0.151835798,Control,Saline,C/S,c-CS-s
50810F_7,0.603878583,0.339492554,0.337286266,1.103035413,0.142158516,Control,Saline,C/S,c-CS-s
50810F_8,0.621692658,0.32633015,0.340518417,1.188890836,0.150867356,Control,Saline,C/S,c-CS-s
50810F_9,0.605136986,0.346012961,0.332206255,1.111986301,0.144178082,Control,Saline,C/S,c-CS-s
50810F_10,0.590564813,0.364120782,0.374422735,1.197576282,0.139580177,Control,Saline,C/S,c-CS-s
50810F_11,0.577899344,0.3230563,0.335455764,1.196280088,0.144201313,Control,Saline,C/S,c-CS-s
50810F_12,0.595841455,0.349537037,0.367724868,1.18128655,0.146848603,Control,Saline,C/S,c-CS-s
50810F_13,0.586598863,0.395986106,0.357005017,1.33413102,0.154352378,Control,Saline,C/S,c-CS-s
50810F_14,0.625951873,0.447093266,0.407779172,1.246116357,0.140115748,Control,Saline,C/S,c-CS-s
50810F_15,0.632286996,0.372356495,0.340634441,1.30284006,0.153363229,Control,Saline,C/S,c-CS-s
3414_1,0.452925353,0.310420676,0.25836312,0.972539789,0.194070836,Ts65Dn,Memantine,C/S,t-CS-m
3414_2,0.45064666,0.315638997,0.274563995,0.914842394,0.187783439,Ts65Dn,Memantine,C/S,t-CS-m
3414_3,0.432925485,0.332784185,0.283748425,0.882550705,0.189539242,Ts65Dn,Memantine,C/S,t-CS-m
3414_4,0.381434228,0.300893062,0.243073048,0.966050741,0.196436428,Ts65Dn,Memantine,C/S,t-CS-m
3414_5,0.39838553,0.296449704,0.256094675,0.939831079,0.192690037,Ts65Dn,Memantine,C/S,t-CS-m
3414_6,0.396880667,0.298396605,0.255246404,0.899601016,0.184185709,Ts65Dn,Memantine,C/S,t-CS-m
3414_7,0.334481769,0.2820475,0.264493288,0.953584075,0.184610968,Ts65Dn,Memantine,C/S,t-CS-m
3414_8,0.344910757,0.290476925,0.253279827,0.918379161,0.185045827,Ts65Dn,Memantine,C/S,t-CS-m
3414_9,0.351304847,0.286256068,0.244538835,0.914826498,0.184303604,Ts65Dn,Memantine,C/S,t-CS-m
3414_10,0.330581761,0.276139901,0.241530855,1.007337526,0.183176101,Ts65Dn,Memantine,C/S,t-CS-m
3414_11,0.343985211,0.302799467,0.252332889,0.99590651,0.182490427,Ts65Dn,Memantine,C/S,t-CS-m
3414_12,0.337064197,0.30830269,0.249854848,0.962948668,0.174450019,Ts65Dn,Memantine,C/S,t-CS-m
3414_13,0.319453588,0.285033572,0.248429716,1.004772877,0.184660961,Ts65Dn,Memantine,C/S,t-CS-m
3414_14,0.29973822,0.28492919,0.231874868,0.999018325,0.178828534,Ts65Dn,Memantine,C/S,t-CS-m
3414_15,0.313016696,0.323964814,0.232353572,0.994488572,0.178310909,Ts65Dn,Memantine,C/S,t-CS-m
3416_1,0.604537055,0.324433498,0.270246305,1.075001593,0.200152934,Ts65Dn,Memantine,C/S,t-CS-m
3416_2,0.581503035,0.314754763,0.284961492,0.992678806,0.188160941,Ts65Dn,Memantine,C/S,t-CS-m
3416_3,0.577013631,0.32453479,0.263450647,1.039281289,0.183705081,Ts65Dn,Memantine,C/S,t-CS-m
3416_4,0.527723924,0.307827396,0.252759659,1.021093447,0.186816596,Ts65Dn,Memantine,C/S,t-CS-m
3416_5,0.50104562,0.32357892,0.266735724,0.941445279,0.181937882,Ts65Dn,Memantine,C/S,t-CS-m
3416_6,0.51529644,0.308785861,0.285476434,0.956122372,0.171714871,Ts65Dn,Memantine,C/S,t-CS-m
3416_7,0.451207933,0.315821813,0.253456221,1.082181665,0.178816331,Ts65Dn,Memantine,C/S,t-CS-m
3416_8,0.431358602,0.312812737,0.253373768,0.998069302,0.165633574,Ts65Dn,Memantine,C/S,t-CS-m
3416_9,0.449623595,0.304616849,0.270030144,1.023099928,0.167165103,Ts65Dn,Memantine,C/S,t-CS-m
3416_10,0.480207352,0.274859597,0.225140403,1.109487904,0.170593779,Ts65Dn,Memantine,C/S,t-CS-m
3416_11,0.452410383,0.261228376,0.228535153,1.138133498,0.173825711,Ts65Dn,Memantine,C/S,t-CS-m
3416_12,0.448723758,0.265083218,0.235090153,1.079142124,0.167950461,Ts65Dn,Memantine,C/S,t-CS-m
3416_13,0.473154999,0.380265568,0.293727106,1.083855056,0.16998672,Ts65Dn,Memantine,C/S,t-CS-m
3416_14,0.451701932,0.29634932,0.220830351,1.115915363,0.182152714,Ts65Dn,Memantine,C/S,t-CS-m
3416_15,0.453127901,0.32600515,0.227767875,1.085947652,0.186003341,Ts65Dn,Memantine,C/S,t-CS-m
3417_1,0.477183705,0.269500121,0.233276986,1.124951038,0.189189189,Ts65Dn,Memantine,C/S,t-CS-m
3417_2,0.453212224,0.273745799,0.218473796,1.093386318,0.188475731,Ts65Dn,Memantine,C/S,t-CS-m
3417_3,0.468788599,0.258723958,0.223958333,1.103562945,0.196484561,Ts65Dn,Memantine,C/S,t-CS-m
3417_4,0.460610537,0.290786137,0.225838264,1.105859183,0.181437715,Ts65Dn,Memantine,C/S,t-CS-m
3417_5,0.449145452,0.286656891,0.225806452,1.10864109,0.184653998,Ts65Dn,Memantine,C/S,t-CS-m
3417_6,0.418904404,0.303852753,0.260021837,1.104189044,0.189521423,Ts65Dn,Memantine,C/S,t-CS-m
3417_7,0.415570345,0.294976239,0.247284453,1.136820926,0.175978951,Ts65Dn,Memantine,C/S,t-CS-m
3417_8,0.409221902,0.300912987,0.22955096,1.140603671,0.174730775,Ts65Dn,Memantine,C/S,t-CS-m
3417_9,0.411648418,0.281467181,0.236100386,1.157998783,0.179288321,Ts65Dn,Memantine,C/S,t-CS-m
3417_10,0.393201931,0.373333333,0.256830601,1.164923572,0.168543846,Ts65Dn,Memantine,C/S,t-CS-m
3417_11,0.40103751,0.36745283,0.287735849,1.191739824,0.178571429,Ts65Dn,Memantine,C/S,t-CS-m
3417_12,0.383138729,0.361666667,0.249285714,1.15218682,0.176330893,Ts65Dn,Memantine,C/S,t-CS-m
3417_13,0.384038029,0.372087002,0.28767478,1.192644483,0.170127596,Ts65Dn,Memantine,C/S,t-CS-m
3417_14,0.380096227,0.384236453,0.282430213,1.237528488,0.174221322,Ts65Dn,Memantine,C/S,t-CS-m
3417_15,0.361733931,0.403001668,0.299055031,1.170403587,0.176133533,Ts65Dn,Memantine,C/S,t-CS-m
3429_1,0.569476789,0.31085044,0.241935484,0.955286446,0.248253377,Ts65Dn,Memantine,C/S,t-CS-m
3429_2,0.560110761,0.307784431,0.24324684,1.023690485,0.241673717,Ts65Dn,Memantine,C/S,t-CS-m
3429_3,0.56633359,0.301728723,0.243351064,1.086318217,0.236356649,Ts65Dn,Memantine,C/S,t-CS-m
3429_4,0.510617573,0.352538896,0.252863737,0.863237873,0.222481979,Ts65Dn,Memantine,C/S,t-CS-m
3429_5,0.530419546,0.335788933,0.25578208,1.060157695,0.224861287,Ts65Dn,Memantine,C/S,t-CS-m
3429_6,0.524154826,0.333668679,0.260060362,1.010877021,0.229201372,Ts65Dn,Memantine,C/S,t-CS-m
3429_7,0.422827981,0.393522626,0.277506655,0.960418223,0.200398307,Ts65Dn,Memantine,C/S,t-CS-m
3429_8,0.445572407,0.418095031,0.267303103,1.04415362,0.200709393,Ts65Dn,Memantine,C/S,t-CS-m
3429_9,0.453280808,0.378252168,0.284856571,1.029668842,0.199064385,Ts65Dn,Memantine,C/S,t-CS-m
3429_10,0.389424733,0.448284756,0.295589373,0.956079917,0.17258009,Ts65Dn,Memantine,C/S,t-CS-m
3429_11,0.395348837,0.416518424,0.327827192,1.006235254,0.186383552,Ts65Dn,Memantine,C/S,t-CS-m
3429_12,0.410550061,0.414112799,0.295647695,1.015269825,0.16970328,Ts65Dn,Memantine,C/S,t-CS-m
3429_13,0.401052059,0.44300591,0.316915283,0.939415926,0.17576637,Ts65Dn,Memantine,C/S,t-CS-m
3429_14,0.395661527,0.48982601,0.313771749,1.023843672,0.178200072,Ts65Dn,Memantine,C/S,t-CS-m
3429_15,0.426822377,0.439270687,0.310518934,1.056884536,0.187417593,Ts65Dn,Memantine,C/S,t-CS-m
3504_1,0.592285971,0.336026332,0.2663076,0.958221024,0.219227314,Ts65Dn,Memantine,C/S,t-CS-m
3504_2,0.616173416,0.353436324,0.262428204,0.966770509,0.218068536,Ts65Dn,Memantine,C/S,t-CS-m
3504_3,0.61460974,0.358127513,0.244208309,0.981521014,0.228752502,Ts65Dn,Memantine,C/S,t-CS-m
3504_4,0.4893753,0.34760894,0.285304033,0.937130532,0.213452628,Ts65Dn,Memantine,C/S,t-CS-m
3504_5,0.531095124,0.375596039,0.257366426,0.94756195,0.223820943,Ts65Dn,Memantine,C/S,t-CS-m
3504_6,0.566129698,0.375500303,0.244754397,0.931185461,0.229491945,Ts65Dn,Memantine,C/S,t-CS-m
3504_7,0.485492825,0.361476817,0.263022324,0.96145386,0.212946475,Ts65Dn,Memantine,C/S,t-CS-m
3504_8,0.468556061,0.382410242,0.273170053,0.966590815,0.211832851,Ts65Dn,Memantine,C/S,t-CS-m
3504_9,0.487334268,0.348157725,0.233225598,0.965074916,0.216125903,Ts65Dn,Memantine,C/S,t-CS-m
3504_10,0.450702341,0.373748975,0.273338802,0.924147157,0.214180602,Ts65Dn,Memantine,C/S,t-CS-m
3504_11,0.44049047,0.408006405,0.258606886,0.945755031,0.215113954,Ts65Dn,Memantine,C/S,t-CS-m
3504_12,0.464681927,0.367196702,0.244699647,0.97050976,0.225670552,Ts65Dn,Memantine,C/S,t-CS-m
3504_13,0.419542083,0.438618394,0.29650437,0.96372138,0.220574008,Ts65Dn,Memantine,C/S,t-CS-m
3504_14,0.430488199,0.443616395,0.289468523,0.973650178,0.21419334,Ts65Dn,Memantine,C/S,t-CS-m
3504_15,0.421105697,0.40976606,0.249164501,0.959502605,0.228869098,Ts65Dn,Memantine,C/S,t-CS-m
3505_1,0.534289401,0.344856118,0.365541969,1.13070663,0.187425566,Ts65Dn,Memantine,C/S,t-CS-m
3505_2,0.561645218,0.354931347,0.354392892,1.011960636,0.202119606,Ts65Dn,Memantine,C/S,t-CS-m
3505_3,0.548377552,0.352032804,0.3378119,1.065588322,0.202534767,Ts65Dn,Memantine,C/S,t-CS-m
3505_4,0.44288997,0.296251657,0.322767265,1.156934307,0.181062449,Ts65Dn,Memantine,C/S,t-CS-m
3505_5,0.44117247,0.316610658,0.314330293,1.073721436,0.186343852,Ts65Dn,Memantine,C/S,t-CS-m
3505_6,0.445371367,0.322531047,0.303962153,1.033503767,0.184876211,Ts65Dn,Memantine,C/S,t-CS-m
3505_7,0.422476587,0.300577179,0.306348971,1.096514048,0.192421089,Ts65Dn,Memantine,C/S,t-CS-m
3505_8,0.418621054,0.291855846,0.297956867,1.039587374,0.181184976,Ts65Dn,Memantine,C/S,t-CS-m
3505_9,0.415857886,0.293846571,0.282867986,1.055025997,0.185441941,Ts65Dn,Memantine,C/S,t-CS-m
3505_10,0.387450319,0.309116312,0.292699965,1.061664459,0.168854631,Ts65Dn,Memantine,C/S,t-CS-m
3505_11,0.400593105,0.321706127,0.294776794,1.092425553,0.181514889,Ts65Dn,Memantine,C/S,t-CS-m
3505_12,0.403316264,0.309639564,0.286672255,1.116922702,0.174103877,Ts65Dn,Memantine,C/S,t-CS-m
3505_13,0.393948517,0.289416455,0.277999275,1.085202469,0.181845552,Ts65Dn,Memantine,C/S,t-CS-m
3505_14,0.404722011,0.294224813,0.278921479,1.155521706,0.18126428,Ts65Dn,Memantine,C/S,t-CS-m
3505_15,0.392568175,0.339215686,0.281639929,1.137848367,0.192088702,Ts65Dn,Memantine,C/S,t-CS-m
3522_1,0.673622378,0.354628165,0.334651899,1.129734266,0.20979021,Ts65Dn,Memantine,C/S,t-CS-m
3522_2,0.701177541,0.351147947,0.339525579,1.187098242,0.219409523,Ts65Dn,Memantine,C/S,t-CS-m
3522_3,0.692521719,0.375608824,0.329099417,1.216512407,0.22037363,Ts65Dn,Memantine,C/S,t-CS-m
3522_4,0.605490556,0.332462687,0.298880597,1.135352145,0.201728225,Ts65Dn,Memantine,C/S,t-CS-m
3522_5,0.630080682,0.329793802,0.30843314,1.137996651,0.209620947,Ts65Dn,Memantine,C/S,t-CS-m
3522_6,0.612881356,0.342488655,0.307141151,1.111035782,0.205800377,Ts65Dn,Memantine,C/S,t-CS-m
3522_7,0.582406377,0.320309083,0.286193323,1.11744531,0.190304042,Ts65Dn,Memantine,C/S,t-CS-m
3522_8,0.594117094,0.32319722,0.291775268,1.187482379,0.186072738,Ts65Dn,Memantine,C/S,t-CS-m
3522_9,0.586926026,0.342181667,0.313562837,1.173665014,0.197886468,Ts65Dn,Memantine,C/S,t-CS-m
3522_10,0.498121713,0.343513058,0.328348778,1.191710493,0.168795392,Ts65Dn,Memantine,C/S,t-CS-m
3522_11,0.499937601,0.306231454,0.337487636,1.214027206,0.165231499,Ts65Dn,Memantine,C/S,t-CS-m
3522_12,0.555526692,0.301650428,0.302246968,1.153266658,0.177035979,Ts65Dn,Memantine,C/S,t-CS-m
3522_13,0.487732458,0.370907273,0.300924769,1.205813408,0.172214409,Ts65Dn,Memantine,C/S,t-CS-m
3522_14,0.500957854,0.309250506,0.275489534,1.255268199,0.177203065,Ts65Dn,Memantine,C/S,t-CS-m
3522_15,0.532331809,0.323354716,0.296507484,1.091606793,0.160842587,Ts65Dn,Memantine,C/S,t-CS-m
361_1,0.480213333,0.377104703,0.29369073,1.167626667,0.152213333,Ts65Dn,Memantine,C/S,t-CS-m
361_2,0.504407228,0.373086299,0.295075573,1.292309387,0.156346408,Ts65Dn,Memantine,C/S,t-CS-m
361_3,0.49760419,0.372874917,0.294424922,1.226320481,0.152774682,Ts65Dn,Memantine,C/S,t-CS-m
361_4,0.416756976,0.384254564,0.276495943,1.222162016,0.15287185,Ts65Dn,Memantine,C/S,t-CS-m
361_5,0.425263305,0.387630208,0.301692708,1.304456999,0.162516566,Ts65Dn,Memantine,C/S,t-CS-m
361_6,0.401806025,0.396616786,0.310865322,1.092369201,0.15144413,Ts65Dn,Memantine,C/S,t-CS-m
361_7,0.374932274,0.386550556,0.298822771,1.213653603,0.153964241,Ts65Dn,Memantine,C/S,t-CS-m
361_8,0.370682622,0.352740283,0.300211416,1.116671199,0.150484997,Ts65Dn,Memantine,C/S,t-CS-m
361_9,0.347587217,0.35199241,0.303447185,1.082043769,0.147513964,Ts65Dn,Memantine,C/S,t-CS-m
361_10,0.371497006,0.358872493,0.294362467,1.248023952,0.14502994,Ts65Dn,Memantine,C/S,t-CS-m
361_11,0.356104651,0.382485876,0.297740113,1.275193798,0.149224806,Ts65Dn,Memantine,C/S,t-CS-m
361_12,0.347990992,0.358643284,0.304104837,1.300817826,0.139978665,Ts65Dn,Memantine,C/S,t-CS-m
361_13,0.337914185,0.338132733,0.305736783,1.135135135,0.138494427,Ts65Dn,Memantine,C/S,t-CS-m
361_14,0.320960699,0.377644894,0.313477461,1.231129133,0.142545228,Ts65Dn,Memantine,C/S,t-CS-m
361_15,0.322410148,0.394092054,0.309365697,1.224705527,0.146330414,Ts65Dn,Memantine,C/S,t-CS-m
363_1,0.73745291,0.337079878,0.252400698,1.210900474,0.267164905,Ts65Dn,Memantine,C/S,t-CS-m
363_2,0.729760963,0.342540843,0.249032674,1.227540904,0.263365975,Ts65Dn,Memantine,C/S,t-CS-m
363_3,0.754125719,0.341915776,0.279183941,1.363804932,0.268001731,Ts65Dn,Memantine,C/S,t-CS-m
363_4,0.712385321,0.345616813,0.256081762,1.20351682,0.268119266,Ts65Dn,Memantine,C/S,t-CS-m
363_5,0.707708945,0.361956843,0.268105232,1.193727792,0.273675266,Ts65Dn,Memantine,C/S,t-CS-m
363_6,0.712649017,0.339153513,0.255901662,1.203901533,0.279609847,Ts65Dn,Memantine,C/S,t-CS-m
363_7,0.627900059,0.386937536,0.297322954,1.187487607,0.232203054,Ts65Dn,Memantine,C/S,t-CS-m
363_8,0.635971512,0.394780677,0.290209143,1.19349985,0.221887852,Ts65Dn,Memantine,C/S,t-CS-m
363_9,0.637099191,0.398485395,0.276054814,1.252622116,0.238937169,Ts65Dn,Memantine,C/S,t-CS-m
363_10,0.616875443,0.425801985,0.311100854,1.169108958,0.240250532,Ts65Dn,Memantine,C/S,t-CS-m
363_11,0.613684961,0.451173709,0.315962441,1.146828225,0.238892849,Ts65Dn,Memantine,C/S,t-CS-m
363_12,0.628285508,0.440959848,0.306486101,1.196286472,0.244875814,Ts65Dn,Memantine,C/S,t-CS-m
363_13,0.58127236,0.491497073,0.341511012,1.20065329,0.219785348,Ts65Dn,Memantine,C/S,t-CS-m
363_14,0.57828679,0.519275029,0.361910242,1.17791026,0.23250706,Ts65Dn,Memantine,C/S,t-CS-m
363_15,0.577233202,0.536930179,0.366993653,1.206798419,0.239051383,Ts65Dn,Memantine,C/S,t-CS-m
18899_1,0.65812288,0.349865952,0.324061662,1.284771956,0.222860912,Ts65Dn,Saline,C/S,t-CS-s
18899_2,0.64084507,0.37362259,0.351928375,1.204413146,0.228262911,Ts65Dn,Saline,C/S,t-CS-s
18899_3,0.572996707,0.369550637,0.370053655,1.215697036,0.209751189,Ts65Dn,Saline,C/S,t-CS-s
18899_4,0.633441721,0.33776908,0.310567515,1.262381191,0.21835918,Ts65Dn,Saline,C/S,t-CS-s
18899_5,0.61691358,0.351306512,0.340729988,1.268765432,0.206419753,Ts65Dn,Saline,C/S,t-CS-s
18899_6,0.550601979,0.374573207,0.356898976,1.144474908,0.19775897,Ts65Dn,Saline,C/S,t-CS-s
18899_7,0.615135635,0.352647827,0.308240323,1.246609125,0.217324291,Ts65Dn,Saline,C/S,t-CS-s
18899_8,0.58241266,0.350146199,0.333089669,1.269782024,0.196775157,Ts65Dn,Saline,C/S,t-CS-s
18899_9,0.533893221,0.369179069,0.352136342,1.234703059,0.193611278,Ts65Dn,Saline,C/S,t-CS-s
18899_10,0.624766258,0.316856781,0.290557668,1.42156659,0.194473301,Ts65Dn,Saline,C/S,t-CS-s
18899_11,0.632648785,0.353495935,0.300487805,1.397317687,0.190905281,Ts65Dn,Saline,C/S,t-CS-s
18899_12,0.611757624,0.364428664,0.347320852,1.483146067,0.176163724,Ts65Dn,Saline,C/S,t-CS-s
18899_13,0.652845528,0.385204082,0.314868805,1.562059621,0.202168022,Ts65Dn,Saline,C/S,t-CS-s
18899_14,0.642020307,0.388684791,0.330639236,1.437125749,0.190315022,Ts65Dn,Saline,C/S,t-CS-s
18899_15,0.665336526,0.391055456,0.336314848,1.530194201,0.18462357,Ts65Dn,Saline,C/S,t-CS-s
3476_1,0.714254906,0.341393304,0.271305377,1.288979944,0.271188268,Ts65Dn,Saline,C/S,t-CS-s
3476_2,0.724528302,0.347272105,0.272447409,1.285917419,0.280284386,Ts65Dn,Saline,C/S,t-CS-s
3476_3,0.719847853,0.368719539,0.287106779,1.29420466,0.262982725,Ts65Dn,Saline,C/S,t-CS-s
3476_4,0.625437246,0.316664742,0.24795011,1.208269204,0.258779908,Ts65Dn,Saline,C/S,t-CS-s
3476_5,0.64993358,0.308486912,0.271041202,1.191428372,0.25637978,Ts65Dn,Saline,C/S,t-CS-s
3476_6,0.646373596,0.319120826,0.259188086,1.203855221,0.248925253,Ts65Dn,Saline,C/S,t-CS-s
3476_7,0.548537292,0.323943662,0.257719393,1.191601511,0.232451902,Ts65Dn,Saline,C/S,t-CS-s
3476_8,0.539241164,0.339165174,0.274280204,1.10507623,0.227130977,Ts65Dn,Saline,C/S,t-CS-s
3476_9,0.595684968,0.303972366,0.258535937,1.171636555,0.219522891,Ts65Dn,Saline,C/S,t-CS-s
3476_10,0.61996273,0.331782391,0.276127416,1.352434195,0.207314232,Ts65Dn,Saline,C/S,t-CS-s
3476_11,0.621263974,0.313162148,0.260369905,1.374287018,0.22667123,Ts65Dn,Saline,C/S,t-CS-s
3476_12,0.586160564,0.281270358,0.242833876,1.333781212,0.230769231,Ts65Dn,Saline,C/S,t-CS-s
3476_13,0.584847073,0.374926886,0.279976604,1.3122186,0.203074057,Ts65Dn,Saline,C/S,t-CS-s
3476_14,0.529156417,0.361010101,0.272121212,1.245839965,0.201707423,Ts65Dn,Saline,C/S,t-CS-s
3476_15,0.543184787,0.297499544,0.245847782,1.193206561,0.204528959,Ts65Dn,Saline,C/S,t-CS-s
3483_1,0.8226108,0.242322674,0.253464988,1.127790608,0.334268118,Ts65Dn,Saline,C/S,t-CS-s
3483_2,0.787701877,0.242437683,0.278275526,1.327531646,0.330150589,Ts65Dn,Saline,C/S,t-CS-s
3483_3,0.80738627,0.227880387,0.239929639,1.227130549,0.329967623,Ts65Dn,Saline,C/S,t-CS-s
3483_4,0.719246742,0.271750198,0.234755063,1.128240011,0.280681655,Ts65Dn,Saline,C/S,t-CS-s
3483_5,0.711880063,0.263874585,0.236869207,1.163492966,0.273411965,Ts65Dn,Saline,C/S,t-CS-s
3483_6,0.69547928,0.268953488,0.240232558,1.146644342,0.273336124,Ts65Dn,Saline,C/S,t-CS-s
3483_7,0.655598728,0.291129032,0.239919355,1.103496998,0.2522077,Ts65Dn,Saline,C/S,t-CS-s
3483_8,0.635985079,0.276976036,0.243876605,1.187212631,0.239784853,Ts65Dn,Saline,C/S,t-CS-s
3483_9,0.626269702,0.275945619,0.24417822,1.160070053,0.254290718,Ts65Dn,Saline,C/S,t-CS-s
3483_10,0.478006501,0.333333333,0.269408832,0.978006501,0.182665222,Ts65Dn,Saline,C/S,t-CS-s
3483_11,0.46624245,0.321371752,0.256496376,0.991048318,0.20340811,Ts65Dn,Saline,C/S,t-CS-s
3483_12,0.489056686,0.310976664,0.25514261,1.057999562,0.195009849,Ts65Dn,Saline,C/S,t-CS-s
3483_13,0.476639712,0.339988022,0.259932122,1.025007487,0.188080264,Ts65Dn,Saline,C/S,t-CS-s
3483_14,0.436778206,0.317853659,0.268487805,1.069736452,0.193514954,Ts65Dn,Saline,C/S,t-CS-s
3483_15,0.42571729,0.294313074,0.262263045,1.049121226,0.201291873,Ts65Dn,Saline,C/S,t-CS-s
3498_1,0.662145053,0.236006198,0.242591517,1.154277446,0.257792247,Ts65Dn,Saline,C/S,t-CS-s
3498_2,0.667029314,0.236575179,0.24363564,1.131278332,0.239286794,Ts65Dn,Saline,C/S,t-CS-s
3498_3,0.64192399,0.284495888,0.269570515,1.040380048,0.243289786,Ts65Dn,Saline,C/S,t-CS-s
3498_4,0.618798127,0.246198407,0.235578084,1.107882829,0.254822577,Ts65Dn,Saline,C/S,t-CS-s
3498_5,0.620196533,0.259723138,0.257218194,1.099145163,0.255093073,Ts65Dn,Saline,C/S,t-CS-s
3498_6,0.609379894,0.265855891,0.24885576,1.173191356,0.24600689,Ts65Dn,Saline,C/S,t-CS-s
3498_7,0.623951587,0.237520129,0.228502415,1.144070496,0.262979085,Ts65Dn,Saline,C/S,t-CS-s
3498_8,0.615597699,0.256095538,0.23984077,1.106008949,0.238972938,Ts65Dn,Saline,C/S,t-CS-s
3498_9,0.60464135,0.260672269,0.265042017,1.115189873,0.239662447,Ts65Dn,Saline,C/S,t-CS-s
3498_10,0.613477606,0.250143871,0.2319202,1.165593754,0.231201205,Ts65Dn,Saline,C/S,t-CS-s
3498_11,0.600271003,0.288997356,0.243847875,1.15704607,0.245528455,Ts65Dn,Saline,C/S,t-CS-s
3498_12,0.584541063,0.286652542,0.260381356,1.149221685,0.211755233,Ts65Dn,Saline,C/S,t-CS-s
3498_13,0.602475428,0.260481713,0.234388938,1.194029851,0.235529669,Ts65Dn,Saline,C/S,t-CS-s
3498_14,0.610979822,0.274269557,0.240574929,1.197236866,0.233230322,Ts65Dn,Saline,C/S,t-CS-s
3498_15,0.595130748,0.268956289,0.238180196,1.209558161,0.238232642,Ts65Dn,Saline,C/S,t-CS-s
50810B_1,0.63922397,0.291047011,0.280866354,1.052587692,0.255934182,Ts65Dn,Saline,C/S,t-CS-s
50810B_2,0.624552069,0.296373989,0.262910798,1.115321968,0.248018243,Ts65Dn,Saline,C/S,t-CS-s
50810B_3,0.637391775,0.290791282,0.263302572,1.172348485,0.266017316,Ts65Dn,Saline,C/S,t-CS-s
50810B_4,0.594594595,0.30368932,0.259676375,0.960960961,0.245154245,Ts65Dn,Saline,C/S,t-CS-s
50810B_5,0.587956788,0.309864506,0.261744966,1.018004801,0.235996266,Ts65Dn,Saline,C/S,t-CS-s
50810B_6,0.581206648,0.302145709,0.280439122,1.115691663,0.254089779,Ts65Dn,Saline,C/S,t-CS-s
50810B_7,0.561925172,0.313953488,0.259253194,1.003303866,0.215465667,Ts65Dn,Saline,C/S,t-CS-s
50810B_8,0.549907497,0.335044929,0.262997433,1.031098582,0.205973042,Ts65Dn,Saline,C/S,t-CS-s
50810B_9,0.551176317,0.325497878,0.273261508,1.09801198,0.222154701,Ts65Dn,Saline,C/S,t-CS-s
50810B_10,0.448593875,0.323424939,0.277435035,0.830809518,0.143572811,Ts65Dn,Saline,C/S,t-CS-s
50810B_11,0.414077505,0.340904994,0.260140617,0.897525703,0.140888035,Ts65Dn,Saline,C/S,t-CS-s
50810B_12,0.436892119,0.35124195,0.301379945,0.976634992,0.138177753,Ts65Dn,Saline,C/S,t-CS-s
50810B_13,0.56284008,0.369282619,0.308618199,1.060252157,0.189781022,Ts65Dn,Saline,C/S,t-CS-s
50810B_14,0.532130339,0.36728972,0.317990654,1.058938076,0.186291055,Ts65Dn,Saline,C/S,t-CS-s
50810B_15,0.541310541,0.378261856,0.313818924,1.103600104,0.186091686,Ts65Dn,Saline,C/S,t-CS-s
50810C_1,0.627162253,0.322946572,0.295427491,1.229307683,0.266239164,Ts65Dn,Saline,C/S,t-CS-s
50810C_2,0.590336537,0.329287448,0.306368699,1.154868104,0.26536238,Ts65Dn,Saline,C/S,t-CS-s
50810C_3,0.56011411,0.357484905,0.293635922,1.06486243,0.244585413,Ts65Dn,Saline,C/S,t-CS-s
50810C_4,0.524261275,0.313849943,0.276619932,1.27029549,0.232918611,Ts65Dn,Saline,C/S,t-CS-s
